香港,#genre#
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv


央视,#genre#
CCTV-1综合,http://148.135.93.213/live.php?id=CCTV1
CCTV-1综合,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://tvh.990066.xyz/stream/channelid/267738118?profile=pass



CCTV-2财经,http://107.174.52.32/itv.php?id=CCTV2



CCTV-3综艺,http://107.174.52.32/itv.php?id=CCTV3


CCTV-4国际,http://107.174.52.32/itv.php?id=CCTV4


CCTV-5体育,https://tvpull.careryun.com/tv/cctv5.m3u8



CCTV-6电影,http://107.174.52.32/itv.php?id=CCTV6



CCTV-7,http://107.174.52.32/itv.php?id=CCTV7
CCTV-8电视剧,http://107.174.52.32/itv.php?id=CCTV8

CCTV-9纪录,http://107.174.52.32/itv.php?id=CCTV9

CCTV-10科教,http://107.174.52.32/itv.php?id=CCTV10


CCTV-12社会与法治,http://107.174.52.32/itv.php?id=CCTV112


CCTV-13新闻,http://39.164.180.36:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13新闻,http://123.54.220.38:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://107.174.52.32/itv.php?id=CCTV14

CCTV-15音乐,http://107.174.52.32/itv.php?id=CCTV15
CCTV-17农业,http://107.174.52.32/itv.php?id=CCTV17
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

广西,#genre#
广西卫视,http://183.255.10.74:6610/200000001898/460000089800010099/1.m3u8?IASHttpSessionId=OTT


南宁新闻综合频道,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁都市生活频道,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁影视娱乐频道,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
南宁公共频道,http://hls.nntv.cn/nnlive/GGPD_24.m3u8

广东,#genre#

广东珠江,https://tv.cdn.com.mp/live/gdzj/stream.m3u8
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-5.ctv
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-12.ctv
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8



大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/1.m3u8


广州电视台综合频道,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e8a54fced9025a5af7cec5c05d5dc530&txTime=19072465600
广州电视台影视频道,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=da4e7946ce44b3e1150e257961439a77&txTime=19071ed9221
广州电视台新闻频道,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=dd1b312cc1b5cbe9fad85bf5ddce4b10&txTime=190723b940c

东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx
东莞生活资讯,https://2552.xukzhao.eu.org/tv/php/dg.php?id=5

东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞新闻综合,https://2552.xukzhao.eu.org/tv/php/dg.php

佛山公共,http://tp88.cn/IPTV/guangdong/fstv.php?id=fsgg
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg

佛山影视,http://tp88.cn/IPTV/guangdong/fstv.php?id=fsys
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys

佛山综合,http://tp88.cn/IPTV/guangdong/fstv.php?id=fszh
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh

佛山高明,http://tp88.cn/IPTV/guangdong/fstv.php?id=fsgm
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm

佛山南海,http://tp88.cn/IPTV/guangdong/fstv.php?id=fsnh
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh

佛山顺德,http://tp88.cn/IPTV/guangdong/fstv.php?id=fssd
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd

佛山三水,http://tp88.cn/IPTV/guangdong/fstv.php?id=fsss
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss

